,Order ID,AWB Number,Total weight as per X (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Type of Shipment,Weight slab as per X (KG),Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
0,2001827036,1091122418320,1.27,1.6,b,b,Forward charges,0.5,56.6,117.9,61.300000000000004
1,2001827036,1091122418320,1.5,1.6,b,b,Forward charges,0.5,56.6,117.9,61.300000000000004
2,2001827036,1091122418320,1.0,1.6,b,b,Forward charges,0.5,56.6,117.9,61.300000000000004
3,2001827036,1091122418320,1.65,1.6,b,b,Forward charges,0.5,56.6,117.9,61.300000000000004
4,2001827036,1091122418320,3.5,1.6,b,b,Forward charges,0.5,56.6,117.9,61.300000000000004
5,2001827036,1091122418320,5.0,1.6,b,b,Forward charges,0.5,56.6,117.9,61.300000000000004
7,2001827036,1091122418320,1.37,1.6,b,b,Forward charges,0.5,56.6,117.9,61.300000000000004
8,2001827036,1091122418320,0.1,1.6,b,b,Forward charges,0.5,89.6,117.9,28.30000000000001
9,2001821995,1091121183730,1.27,0.5,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
10,2001821995,1091121183730,3.5,0.5,d,d,Forward charges,1.25,56.6,45.4,-11.200000000000003
11,2001819252,1091120352712,1.27,0.3,b,b,Forward charges,0.5,56.6,33.0,-23.6
12,2001819252,1091120352712,0.1,0.3,b,b,Forward charges,0.5,56.6,33.0,-23.6
13,2001819252,1091120352712,1.33,0.3,b,b,Forward charges,0.5,89.6,33.0,-56.599999999999994
14,2001816996,1091119429202,1.27,0.5,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
15,2001816996,1091119429202,2.4,0.5,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
16,2001816996,1091119429202,1.33,0.5,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
17,2001814580,1091118925110,1.27,0.15,d,d,Forward and RTO charges,1.25,89.6,94.7,5.1000000000000085
18,2001813009,1091118553701,1.27,1.0,d,d,Forward charges,1.25,89.6,92.2,2.6000000000000085
19,2001813009,1091118553701,2.4,1.0,d,d,Forward charges,1.25,89.6,92.2,2.6000000000000085
20,2001813009,1091118553701,1.33,1.0,d,d,Forward charges,1.25,89.6,92.2,2.6000000000000085
21,2001813009,1091118553701,1.2,1.0,d,d,Forward charges,1.25,89.6,92.2,2.6000000000000085
22,2001813009,1091118553701,1.0,1.0,d,d,Forward charges,1.25,89.6,92.2,2.6000000000000085
23,2001812941,1091118551656,1.27,0.73,d,d,Forward charges,1.25,89.6,95.2,5.6000000000000085
24,2001812941,1091118551656,2.4,0.73,d,d,Forward charges,1.25,89.6,95.2,5.6000000000000085
25,2001812941,1091118551656,1.33,0.73,d,d,Forward charges,1.25,89.6,95.2,5.6000000000000085
26,2001812195,1091118442390,1.27,0.67,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
27,2001812195,1091118442390,2.4,0.67,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
28,2001812195,1091118442390,1.33,0.67,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
29,2001811809,1091118009786,1.27,0.5,d,d,Forward and RTO charges,1.25,89.6,86.7,-2.8999999999999915
30,2001811809,1091118009786,2.4,0.5,d,d,Forward and RTO charges,1.25,89.6,86.7,-2.8999999999999915
31,2001811809,1091118009786,1.33,0.5,d,d,Forward and RTO charges,1.25,56.6,86.7,30.1
32,2001811475,1091121844806,1.27,0.5,b,b,Forward charges,0.5,56.6,47.0,-9.600000000000001
33,2001811475,1091121844806,2.4,0.5,b,b,Forward charges,0.5,56.6,47.0,-9.600000000000001
34,2001811475,1091121844806,1.12,0.5,b,b,Forward charges,0.5,56.6,47.0,-9.600000000000001
35,2001811475,1091121844806,2.1,0.5,b,b,Forward charges,0.5,89.6,47.0,-42.599999999999994
36,2001811466,1091118001865,1.27,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
37,2001811466,1091118001865,2.4,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
39,2001811153,1091117957533,1.27,0.76,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
40,2001811153,1091117957533,2.4,0.76,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
42,2001811058,1091117905022,1.27,0.72,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
43,2001811058,1091117905022,2.4,0.72,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
44,2001811058,1091117905022,1.33,0.72,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
45,2001811039,1091117904860,1.27,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
46,2001811039,1091117904860,2.4,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
47,2001811039,1091117904860,1.21,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
48,2001810697,1091117807140,1.27,2.27,d,d,Forward charges,1.25,89.6,224.6,135.0
49,2001810697,1091117807140,2.4,2.27,d,d,Forward charges,1.25,89.6,224.6,135.0
51,2001810281,1091117805390,1.27,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
52,2001810281,1091117805390,2.4,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
53,2001810281,1091117805390,1.33,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
54,2001810125,1091117804314,1.27,0.66,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
55,2001810125,1091117804314,2.4,0.66,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
56,2001810125,1091117804314,1.33,0.66,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
57,2001809820,1091117795623,1.27,3.0,d,d,Forward charges,1.25,89.6,269.4,179.79999999999998
58,2001809820,1091117795623,3.5,3.0,d,d,Forward charges,1.25,89.6,269.4,179.79999999999998
59,2001809820,1091117795623,1.12,3.0,d,d,Forward charges,1.25,89.6,269.4,179.79999999999998
62,2001809820,1091117795623,2.4,3.0,d,d,Forward charges,1.25,56.6,269.4,212.79999999999998
63,2001809820,1091117795623,1.33,3.0,d,d,Forward charges,1.25,56.6,269.4,212.79999999999998
64,2001809820,1091117795623,3.5,3.0,d,d,Forward charges,1.25,56.6,269.4,212.79999999999998
66,2001809820,1091117795623,1.2,3.0,d,d,Forward charges,1.25,89.6,269.4,179.79999999999998
67,2001809820,1091117795623,1.0,3.0,d,d,Forward charges,1.25,89.6,269.4,179.79999999999998
68,2001809820,1091117795623,1.4,3.0,d,d,Forward charges,1.25,89.6,269.4,179.79999999999998
69,2001809820,1091117795623,2.32,3.0,d,d,Forward charges,1.25,89.6,269.4,179.79999999999998
71,2001809592,1091117616121,1.27,1.5,b,b,Forward charges,0.5,89.6,89.6,0.0
72,2001809592,1091117616121,1.12,1.5,b,b,Forward charges,0.5,89.6,89.6,0.0
